tipo,caminho,nome,funcao,estado,pode_alterar,risco,observacoes
arquivo,MAPA_DE_APLICACAO_VISUAL_SITE_MARCUS_REBOQUE.md,MAPA_DE_APLICACAO_VISUAL_SITE_MARCUS_REBOQUE.md,mapa de aplicacao visual,documento obrigatorio,nao,baixo,"Lido integralmente; fonte para implementacao"
arquivo,MAPA_IMAGEM_PAGINA_SECAO_MARCUS_REBOQUE.csv,MAPA_IMAGEM_PAGINA_SECAO_MARCUS_REBOQUE.csv,mapa imagem pagina secao,documento obrigatorio,nao,baixo,"Lido integralmente; fonte de dados para imagens"
arquivo,MATRIZ_VISUAL_POR_PAGINA_MARCUS_REBOQUE.csv,MATRIZ_VISUAL_POR_PAGINA_MARCUS_REBOQUE.csv,matriz visual por pagina,documento obrigatorio,nao,baixo,"Lido integralmente"
arquivo,GUIA_ALT_TEXT_E_LEGENDAS_MARCUS_REBOQUE.md,GUIA_ALT_TEXT_E_LEGENDAS_MARCUS_REBOQUE.md,guia de alt text e legendas,documento obrigatorio,nao,baixo,"Lido integralmente; fonte para acessibilidade"
arquivo,RELATORIO_DE_ANALISE_E_RENOMEACAO_DE_IMAGENS_MARCUS_REBOQUE.md,RELATORIO_DE_ANALISE_E_RENOMEACAO_DE_IMAGENS_MARCUS_REBOQUE.md,relatorio inicial de curadoria,referencia,nao,baixo,"Mantido para rastreabilidade"
arquivo,MAPA_DE_RENOMEACAO_MARCUS_REBOQUE.csv,MAPA_DE_RENOMEACAO_MARCUS_REBOQUE.csv,mapa inicial de renomeacao,referencia,nao,baixo,"Mantido para rastreabilidade"
arquivo,Analise novamente os arquivos.txt,Analise novamente os arquivos.txt,instrucao anterior,referencia,nao,baixo,"Arquivo de briefing"
arquivo,Execute agora a RENOMEAÇÃO CONTROLA.txt,Execute agora a RENOMEAÇÃO CONTROLA.txt,instrucao anterior,referencia,nao,baixo,"Arquivo de briefing"
arquivo,Atue agora como arquiteto de conteú.txt,Atue agora como arquiteto de conteú.txt,instrucao anterior,referencia,nao,baixo,"Arquivo de briefing"
arquivo,Atue como arquiteto técnico respons.txt,Atue como arquiteto técnico respons.txt,instrucao atual,referencia,nao,baixo,"Arquivo de briefing"
arquivo,Você deve atuar como curador técnic.txt,Você deve atuar como curador técnic.txt,instrucao inicial,referencia,nao,baixo,"Arquivo de briefing"
config,package.json,package.json,manifesto npm,ausente,sim,medio,"Necessario na futura implementacao"
config,package-lock.json,package-lock.json,lockfile npm,ausente,sim,baixo,"Sera criado se npm for usado"
config,pnpm-lock.yaml,pnpm-lock.yaml,lockfile pnpm,ausente,sim,baixo,"Nao ha gerenciador definido"
config,yarn.lock,yarn.lock,lockfile yarn,ausente,sim,baixo,"Nao ha gerenciador definido"
config,bun.lockb,bun.lockb,lockfile bun,ausente,sim,baixo,"Nao ha gerenciador definido"
config,next.config.*,next.config.*,configuracao Next.js,ausente,sim,medio,"Criar somente na implementacao"
config,tsconfig.json,tsconfig.json,configuracao TypeScript,ausente,sim,medio,"Criar somente na implementacao"
config,tailwind.config.*,tailwind.config.*,configuracao Tailwind,ausente,sim,medio,"Criar se Tailwind for adotado"
config,postcss.config.*,postcss.config.*,configuracao PostCSS,ausente,sim,baixo,"Criar junto ao Tailwind se necessario"
config,vercel.json,vercel.json,configuracao Vercel,ausente,sim,baixo,"Nao necessario para deploy Next.js simples inicialmente"
config,.env*,.env*,variaveis de ambiente,ausente,sim,baixo,"Nenhum segredo detectado ou exposto"
git,.git,.git,controle de versao,ausente,sim,medio,"Inicializar antes da implementacao"
git,remote,remote,repositorio remoto,ausente,sim,medio,"Definir antes do deploy"
framework,Next.js,Next.js,framework web,ausente,sim,medio,"Recomendado para futura implementacao"
framework,React,React,biblioteca UI,ausente,sim,medio,"Viria com Next.js"
linguagem,TypeScript,TypeScript,tipagem estatica,ausente,sim,medio,"Recomendado"
estilo,Tailwind CSS,Tailwind CSS,sistema de estilos,ausente,sim,medio,"Recomendado com componentes proprios"
componentes,src/components,components,biblioteca de componentes,ausente,sim,baixo,"Criar componentes proprios"
animacao,Framer Motion,Framer Motion,biblioteca de animacao,ausente,avaliar,baixo,"Nao recomendada inicialmente"
animacao,GSAP,GSAP,biblioteca de animacao,ausente,nao,baixo,"Desnecessaria para o escopo"
testes,tests,tests,testes automatizados,ausente,sim,medio,"Adicionar apos scaffold conforme necessidade"
lint,eslint,eslint,lint,ausente,sim,medio,"Adicionar com scaffold"
typescript,typecheck,typecheck,validacao TS,ausente,sim,medio,"Adicionar com scripts npm"
imagem,IMAGENS_MARCUS_REBOQUE/01_IDENTIDADE_VISUAL,01_IDENTIDADE_VISUAL,logotipo,publicavel,nao,baixo,"1 imagem"
imagem,IMAGENS_MARCUS_REBOQUE/02_HERO,02_HERO,heroes aprovados,publicavel,nao,baixo,"5 imagens; #064 exclusivo da homepage"
imagem,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/01_MOTOS,01_MOTOS,servico motos,publicavel,nao,baixo,"5 imagens"
imagem,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/02_CARROS,02_CARROS,servico carros,publicavel,nao,baixo,"16 imagens"
imagem,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/03_CAMINHONETES,03_CAMINHONETES,servico caminhonetes,publicavel,nao,baixo,"16 imagens"
imagem,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/04_VANS,04_VANS,servico vans,publicavel,nao,baixo,"4 imagens"
imagem,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/05_UTILITARIOS,05_UTILITARIOS,servico utilitarios,ausente,sim,medio,"0 imagens; pendencia visual"
imagem,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/06_VEICULOS_ESPECIAIS,06_VEICULOS_ESPECIAIS,servico veiculos especiais,publicavel,nao,baixo,"3 imagens"
imagem,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/07_BARCOS_E_JET_SKIS,07_BARCOS_E_JET_SKIS,servico barcos,publicavel,nao,baixo,"2 imagens"
imagem,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/08_MAQUINAS_AGRICOLAS,08_MAQUINAS_AGRICOLAS,servico maquinas,publicavel,nao,baixo,"2 imagens publicaveis"
imagem,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/09_VEICULOS_ANTIGOS,09_VEICULOS_ANTIGOS,servico veiculos antigos,publicavel,nao,baixo,"3 imagens publicaveis"
imagem,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/10_EMPILHADEIRAS,10_EMPILHADEIRAS,servico empilhadeiras,publicavel,nao,medio,"1 imagem; cobertura fraca"
imagem,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/11_PEQUENOS_CAMINHOES,11_PEQUENOS_CAMINHOES,servico pequenos caminhoes,publicavel,nao,baixo,"3 imagens"
imagem,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/12_PEQUENAS_CARGAS,12_PEQUENAS_CARGAS,servico pequenas cargas,publicavel,nao,baixo,"3 imagens"
imagem,IMAGENS_MARCUS_REBOQUE/05_CAMINHOES_E_PLATAFORMAS,05_CAMINHOES_E_PLATAFORMAS,frota e plataformas,publicavel,nao,baixo,"2 imagens"
imagem,IMAGENS_MARCUS_REBOQUE/06_EQUIPAMENTOS_E_FIXACAO,06_EQUIPAMENTOS_E_FIXACAO,equipamentos e fixacao,publicavel,nao,baixo,"1 imagem"
imagem,IMAGENS_MARCUS_REBOQUE/09_ATENDIMENTO_NOTURNO,09_ATENDIMENTO_NOTURNO,atendimento noturno,publicavel,nao,baixo,"1 imagem"
imagem,IMAGENS_MARCUS_REBOQUE/10_ATENDIMENTOS_REAIS,10_ATENDIMENTOS_REAIS,atendimentos reais,publicavel com cautela,nao,medio,"2 imagens; linguagem cuidadosa"
imagem,IMAGENS_MARCUS_REBOQUE/99_PENDENTES_DE_REVISAO/CLASSIFICACAO_INCONCLUSA,CLASSIFICACAO_INCONCLUSA,pendencias por classificacao,pendente,nao,medio,"11 imagens"
imagem,IMAGENS_MARCUS_REBOQUE/99_PENDENTES_DE_REVISAO/INADEQUADAS_PUBLICACAO,INADEQUADAS_PUBLICACAO,pendencias inadequadas,pendente,nao,alto,"3 imagens"
saida,DIAGNOSTICO_TECNICO_PRE_IMPLEMENTACAO_MARCUS_REBOQUE.md,DIAGNOSTICO_TECNICO_PRE_IMPLEMENTACAO_MARCUS_REBOQUE.md,diagnostico desta etapa,gerado,sim,baixo,"Arquivo criado conforme solicitacao"
saida,INVENTARIO_TECNICO_PROJETO_MARCUS_REBOQUE.csv,INVENTARIO_TECNICO_PROJETO_MARCUS_REBOQUE.csv,inventario desta etapa,gerado,sim,baixo,"Arquivo criado conforme solicitacao"
